service	usage_type	item_description	name	unblended_cost
mrt	USW2-EBS:VolumeUsage	$0.05 per GB-month of Magnetic provisioned storage - US West (Oregon)	uc3-mrtui01-prd /dev/xvda	0.599999976
mrt	USW2-EBS:VolumeUsage	$0.05 per GB-month of Magnetic provisioned storage - US West (Oregon)	uc3-mrtui01-stg /dev/xvda	0.599999976
mrt	USW2-EBS:VolumeUsage	$0.05 per GB-month of Magnetic provisioned storage - US West (Oregon)	uc3-mrtui02-prd /dev/xvda	0.599999976
mrt	USW2-EBS:VolumeUsage	$0.05 per GB-month of Magnetic provisioned storage - US West (Oregon)	uc3-mrtui02-stg /dev/xvda	0.599999976
mrt	USW2-EBS:VolumeUsage	$0.05 per GB-month of Magnetic provisioned storage - US West (Oregon)	uc3-mrtui03-prd /dev/xvda	0.599999976
mrt	USW2-EBS:VolumeUsage	$0.05 per GB-month of Magnetic provisioned storage - US West (Oregon)	uc3-mrtweb-dev /dev/xvda	0.599999976
mrt	USW2-EBS:VolumeUsage	$0.05 per GB-month of Magnetic provisioned storage - US West (Oregon)	uc3-mrtweb-prd /dev/xvda	0.599999976
mrt	USW2-EBS:VolumeUsage	$0.05 per GB-month of Magnetic provisioned storage - US West (Oregon)	uc3-mrtweb-stg /dev/xvda	0.599999976
mrt	USW2-EBS:VolumeUsage	$0.05 per GB-month of Magnetic provisioned storage - US West (Oregon)	uc3-mrtweb2-stg /dev/xvda	0.599999976
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtistatus-prd /dev/sdb	0.596704923
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtweb2-stg /dev/xvda	0.570307782
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtexpress-prd-2a /dev/sdb	0.566269952
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtistatus-stg /dev/sdb	0.558504417
mrt	USW2-EBS:VolumeUsage	$0.05 per GB-month of Magnetic provisioned storage - US West (Oregon)	uc3-mrtistatus-dev /dev/sdb	0.550000008
mrt	USW2-EBS:VolumeUsage	$0.05 per GB-month of Magnetic provisioned storage - US West (Oregon)	uc3-mrtistatus-prd /dev/sdb	0.550000008
